[2025-03-30 17:22:06] [CHECK] Tool: ngspice | Status: INSTALLED | Path: C:\ProgramData\chocolatey\bin\ngspice.EXE
[2025-03-30 17:22:06] [CHECK] Tool: ngspice | Status: VERSION | Parsed from folder name: 41_64
[2025-03-30 17:22:06] [CHECK] Tool: kicad | Status: NOT_INSTALLED | 
[2025-03-30 18:35:10] [INSTALL] Tool: kicad | Status: SUCCESS | Installed on Windows using Chocolatey.
[2025-03-30 18:35:27] [INSTALL] Tool: ghdl | Status: FAIL | Chocolatey install failed or permissions issue
[2025-03-30 18:46:52] [CHECK] Tool: ngspice | Status: INSTALLED | Path: C:\ProgramData\chocolatey\bin\ngspice.EXE
[2025-03-30 18:46:52] [CHECK] Tool: ngspice | Status: VERSION | Parsed from folder name: 41_64
[2025-03-30 18:46:52] [CHECK] Tool: kicad | Status: NOT_INSTALLED | 
[2025-03-30 18:46:52] [CHECK] Tool: ghdl | Status: NOT_INSTALLED | 
[2025-03-30 18:51:57] [CHECK] Tool: ngspice | Status: INSTALLED | Path: C:\ProgramData\chocolatey\bin\ngspice.EXE
[2025-03-30 18:51:57] [CHECK] Tool: ngspice | Status: VERSION | Parsed from folder name: 41_64
[2025-03-30 18:51:57] [CHECK] Tool: kicad | Status: INSTALLED | Path: C:\Program Files\KiCad\9.0\bin\kicad.exe
[2025-03-30 18:51:57] [CHECK] Tool: kicad | Status: VERSION | Exception when running --version
[2025-03-30 19:03:27] [UPDATE] Tool: ngspice | Status: SUCCESS | Updated using Chocolatey.
[2025-03-30 19:04:36] [UPDATE] Tool: kicad | Status: SUCCESS | Updated using Chocolatey.
[2025-04-02 23:05:36] [CONFIG] Tool: ngspice | Status: OK | Path present in PATH
[2025-04-02 23:05:36] [CONFIG] Tool: kicad | Status: MISSING | Expected path not found in PATH
[2025-04-02 23:06:07] [CHECK] Tool: ngspice | Status: INSTALLED | Path: C:\ProgramData\chocolatey\bin\ngspice.EXE
[2025-04-02 23:06:07] [CHECK] Tool: ngspice | Status: VERSION | Parsed from folder name: 41_64
[2025-04-02 23:06:07] [CHECK] Tool: kicad | Status: INSTALLED | Path: C:\Program Files\KiCad\9.0\bin\kicad.exe
[2025-04-02 23:06:07] [CHECK] Tool: kicad | Status: VERSION | Exception when running --version
[2025-04-03 00:20:25] [CHECK] Tool: ngspice | Status: INSTALLED | Path: C:\ProgramData\chocolatey\bin\ngspice.EXE
[2025-04-03 00:20:25] [CHECK] Tool: ngspice | Status: VERSION | Parsed from folder name: 41_64
[2025-04-03 00:20:25] [CHECK] Tool: kicad | Status: INSTALLED | Path: C:\Program Files\KiCad\9.0\bin\kicad.exe
[2025-04-03 00:20:25] [CHECK] Tool: kicad | Status: VERSION | Exception when running --version
[2025-04-03 00:20:32] [CONFIG] Tool: ngspice | Status: OK | Path present in PATH
[2025-04-03 00:20:32] [CONFIG] Tool: kicad | Status: MISSING | Expected path not found in PATH
[2025-04-03 01:17:21] [UPDATE] Tool: ngspice | Status: SUCCESS | Updated using Chocolatey.
[2025-04-03 01:17:33] [CHECK] Tool: ngspice | Status: INSTALLED | Path: C:\ProgramData\chocolatey\bin\ngspice.EXE
[2025-04-03 01:17:33] [CHECK] Tool: ngspice | Status: VERSION | Parsed from folder name: 41_64
[2025-04-03 01:17:33] [CHECK] Tool: kicad | Status: INSTALLED | Path: C:\Program Files\KiCad\9.0\bin\kicad.exe
